date,road_team,road_score,home_team,home_score
10/28/2014,Houston Rockets,108,Los Angeles Lakers,90
10/28/2014,Orlando Magic,84,New Orleans Pelicans,101
10/28/2014,Dallas Mavericks,100,San Antonio Spurs,101
10/29/2014,Brooklyn Nets,105,Boston Celtics,121
10/29/2014,Milwaukee Bucks,106,Charlotte Hornets,108
10/29/2014,Detroit Pistons,79,Denver Nuggets,89
10/29/2014,Philadelphia 76ers,91,Indiana Pacers,103
10/29/2014,Minnesota Timberwolves,101,Memphis Grizzlies,105
10/29/2014,Washington Wizards,95,Miami Heat,107
10/29/2014,Chicago Bulls,104,New York Knicks,80
10/29/2014,Los Angeles Lakers,99,Phoenix Suns,119
10/29/2014,Oklahoma City Thunder,89,Portland Trail Blazers,106
10/29/2014,Golden State Warriors,95,Sacramento Kings,77
10/29/2014,Atlanta Hawks,102,Toronto Raptors,109
10/29/2014,Houston Rockets,104,Utah Jazz,93
10/30/2014,New York Knicks,95,Cleveland Cavaliers,90
10/30/2014,Utah Jazz,102,Dallas Mavericks,120
10/30/2014,Oklahoma City Thunder,90,Los Angeles Clippers,93
10/30/2014,Detroit Pistons,91,Minnesota Timberwolves,97
10/30/2014,Washington Wizards,105,Orlando Magic,98
10/31/2014,Cleveland Cavaliers,114,Chicago Bulls,108
10/31/2014,Memphis Grizzlies,97,Indiana Pacers,89
10/31/2014,Los Angeles Clippers,118,Los Angeles Lakers,111
10/31/2014,Philadelphia 76ers,81,Milwaukee Bucks,93
10/31/2014,San Antonio Spurs,89,Phoenix Suns,94
10/31/2014,Portland Trail Blazers,94,Sacramento Kings,103
11/1/2014,Indiana Pacers,92,Atlanta Hawks,102
11/1/2014,Memphis Grizzlies,71,Charlotte Hornets,69
11/1/2014,Brooklyn Nets,102,Detroit Pistons,90
11/1/2014,Los Angeles Lakers,104,Golden State Warriors,127
11/1/2014,Boston Celtics,90,Houston Rockets,104
11/1/2014,Chicago Bulls,106,Minnesota Timberwolves,105
11/1/2014,Dallas Mavericks,109,New Orleans Pelicans,104
11/1/2014,Denver Nuggets,91,Oklahoma City Thunder,102
11/1/2014,Toronto Raptors,108,Orlando Magic,95
11/1/2014,Miami Heat,114,Philadelphia 76ers,96
11/1/2014,Phoenix Suns,91,Utah Jazz,118
11/1/2014,Milwaukee Bucks,97,Washington Wizards,108
11/2/2014,Sacramento Kings,98,Los Angeles Clippers,92
11/2/2014,Toronto Raptors,102,Miami Heat,107
11/2/2014,Charlotte Hornets,93,New York Knicks,96
11/2/2014,Golden State Warriors,95,Portland Trail Blazers,90
11/3/2014,Oklahoma City Thunder,85,Brooklyn Nets,116
11/3/2014,Boston Celtics,113,Dallas Mavericks,118
11/3/2014,Sacramento Kings,110,Denver Nuggets,105
11/3/2014,Utah Jazz,101,Los Angeles Clippers,107
11/3/2014,New Orleans Pelicans,81,Memphis Grizzlies,93
11/3/2014,Houston Rockets,104,Philadelphia 76ers,93
11/4/2014,Orlando Magic,90,Chicago Bulls,98
11/4/2014,Milwaukee Bucks,87,Indiana Pacers,81
11/4/2014,Phoenix Suns,112,Los Angeles Lakers,106
11/4/2014,Houston Rockets,108,Miami Heat,91
11/4/2014,Charlotte Hornets,91,New Orleans Pelicans,100
11/4/2014,Washington Wizards,98,New York Knicks,83
11/4/2014,Cleveland Cavaliers,82,Portland Trail Blazers,101
11/4/2014,Oklahoma City Thunder,88,Toronto Raptors,100
11/5/2014,Toronto Raptors,110,Boston Celtics,107
