name,abbreviation,offeff,defeff,conference,division,wins,losses
Los Angeles Clippers,LAC,109.6,103.3,west,pacific,40,22
Golden State Warriors,GSW,109.4,97.9,west,pacific,48,12
Dallas Mavericks,DAL,107.8,102.5,west,southwest,40,24
Toronto Raptors,TOR,107.9,104.3,east,atlantic,38,24
Atlanta Hawks,ATL,106.3,99.8,east,southeast,49,12
Cleveland Cavaliers,CLE,107.5,104.1,east,central,39,25
Phoenix Suns,PHO,105.2,104.1,west,pacific,33,30
Chicago Bulls,CHI,105,101.7,east,central,39,24
New Orleans Pelicans,NOP,105.5,105.1,west,southwest,33,29
Portland Trail Blazers,POR,104.5,99.3,west,northwest,41,19
Memphis Grizzlies,MEM,103.7,100.4,west,southwest,44,17
San Antonio Spurs,SAS,103.6,99.5,west,southwest,38,23
Houston Rockets,HOU,103.5,99.9,west,southwest,42,20
Washington Wizards,WAS,102.3,100.5,east,southeast,35,27
Utah Jazz,UTA,102.5,104,west,northwest,25,36
Oklahoma City Thunder,OKC,103.1,101,west,northwest,34,28
Milwaukee Bucks,MIL,100.6,98.8,east,central,32,29
Detroit Pistons,DET,101.5,103.7,east,central,23,38
Sacramento Kings,SAC,101.3,105.7,west,pacific,21,39
Miami Heat,MIA,101.8,103.8,east,southeast,27,34
Denver Nuggets,DEN,100.4,104.9,west,northwest,22,40
Los Angeles Lakers,LAL,101.4,107.8,west,pacific,16,45
Boston Celtics,BOS,100.9,103.3,east,atlantic,25,35
Brooklyn Nets,BRK,100.7,104.6,east,atlantic,25,35
Orlando Magic,ORL,99.1,104.8,east,southeast,20,43
Minnesota Timberwolves,MIN,99.2,108.4,west,northwest,13,47
Indiana Pacers,IND,99.5,100.6,east,central,27,34
New York Knicks,NYK,98.3,107.9,east,atlantic,12,48
Charlotte Hornets,CHA,98.3,100.3,east,southeast,27,33
Philadelphia 76ers,PHI,92.2,102.2,east,atlantic,13,49
